VAW/ETHZ & EKK/SCNAT (), , ,
Gletscher, Silvrettagletscher, ,
Gemeinde, Klosters-Serneus, ,
Kanton, GR, ,
Nummer, , ,
Länge (1973), 3.30, ,
Fläche (1973), 3.35, ,
Koordinaten, 800.8, 192.6,
Exposition, W, ,
  , , ,
Messungen der Längenänderung zwischen 1956 bis 2016, , ,
Referenzjahr, Messjahr, Längenänderung (m), kum. Längenänderung (m),
1956, 1957, -8, -8, 
1957, 1958, -9, -17, 
1958, 1959, -16, -33, 
1959, 1960, -3, -36, 
1960, 1961, -10, -46, 
1961, 1962, -12, -58, 
1962, 1963, -13, -71, 
1963, 1964, -7, -78, 
1964, 1966, +6, -72, 
1966, 1967, -9, -81, 
1967, 1968, 0, -81, 
1968, 1969, -13, -94, 
1969, 1970, -4, -98, 
1970, 1971, -8, -106, 
1971, 1972, -3, -109, 
1972, 1973, -8, -117, 
1973, 1974, +3, -114, 
1974, 1975, +7, -107, 
1975, 1976, -2, -109, 
1976, 1977, -10, -119, 
1977, 1978, +4, -115, 
1978, 1979, -2, -117, 
1979, 1980, +4, -113, 
1980, 1981, +4, -109, 
1981, 1982, -4, -113, 
1982, 1983, -3, -116, 
1983, 1984, +3, -113, 
1984, 1986, -6, -119, 
1986, 1987, -3, -122, 
1987, 1988, -8, -130, 
1988, 1989, -9, -139, 
1989, 1990, -13, -152, 
1990, 1991, -9, -161, 
1991, 1992, -13, -174, 
1992, 1993, -14, -188, 
1993, 1994, -6, -194, 
1994, 1995, -15, -209, 
1995, 1997, -10, -219, 
1997, 1998, -12, -231, 
1998, 1999, -6, -237, 
1999, 2000, -2.0, -239, 
2000, 2002, -10.9, -250, 
2002, 2003, -6.6, -257, 
2003, 2004, -5.8, -262, 
2004, 2005, -15.9, -278, 
2005, 2006, -7.4, -286, 
2006, 2007, -10.4, -296, 
2007, 2008, -6.0, -302, 
2008, 2009, -6.8, -309, 
2009, 2010, -7.7, -317, 
2010, 2011, -11.8, -328, 
2011, 2012, -7.6, -336, 
2012, 2013, -23.6, -360, 
2013, 2014, -7.1, -367, 
2014, 2015, -6.9, -374, 
2015, 2016, -16.5, -390, 
