# Quelle: http://www.bundesbank.de/Navigation/EN/Statistics/...
#     Time_series_databases/Enterprises_and_households/...
#     enterprises_and_households_list_node.html?listId=www_s300_mb09_06
# BBDL1.M.DE.N.UNE.UBA000.A0000.A01.D00.0.ABA.A
# BBDL1.M.DE.N.UNE.UBA000.A0000.A01.D00.0.ABA.A_FLAGS
# Unemployment registered pursuant to section 16 Social Security Code III / Germany / 
# Social Security Code III and Social Security Code II / Absolute value / Unadjusted figure
# unit,Anzahl
# unit multiplier,one
# last update,2016-03-31 10:05:48
#
# Source: Federal Employment Agency.
# "Methodology: Up to and including December 2004 month-end figures, as of 
# January 2005 mid-month figures. As of January 2004, unemployed persons 
# excluding participants in aptitude testing and training measures. Early 
# 2005 rise influenced by inclusion of recipients of social assistance 
# who are able to work."
#
Datum, UU
1990-09,2172616
1990-10,2224234
1990-11,2274302
1990-12,2426332
1991-01,2631151
1991-02,2655847
1991-03,2539308
1991-04,2488886
1991-05,2445961
1991-06,2435115
1991-07,2762324
1991-08,2735455
1991-09,2638271
1991-10,2647486
1991-11,2648999
1991-12,2768927
1992-01,3218526
1992-02,3153811
1992-03,2987994
1992-04,2943067
1992-05,2853582
1992-06,2838697
1992-07,3015946
1992-08,2990366
1992-09,2894374
1992-10,2927816
1992-11,2971093
1992-12,3126217
1993-01,3451393
1993-02,3468621
1993-03,3363945
1993-04,3314626
1993-05,3244516
1993-06,3265902
1993-07,3492067
1993-08,3489648
1993-09,3447223
1993-10,3524583
1993-11,3559603
1993-12,3688922
1994-01,4029491
1994-02,4042427
1994-03,3900416
1994-04,3806649
1994-05,3665469
1994-06,3594590
1994-07,3706527
1994-08,3635706
1994-09,3493334
1994-10,3447351
1994-11,3430397
1994-12,3559732
1995-01,3850018
1995-02,3826973
1995-03,3673949
1995-04,3604692
1995-05,3461088
1995-06,3456850
1995-07,3590500
1995-08,3578117
1995-09,3521049
1995-10,3525842
1995-11,3578796
1995-12,3790624
1996-01,4158960
1996-02,4270426
1996-03,4141266
1996-04,3966968
1996-05,3818413
1996-06,3784589
1996-07,3911613
1996-08,3901663
1996-09,3848449
1996-10,3866831
1996-11,3942204
1996-12,4148145
1997-01,4658267
1997-02,4671908
1997-03,4477206
1997-04,4346808
1997-05,4255647
1997-06,4222431
1997-07,4354258
1997-08,4372058
1997-09,4308097
1997-10,4290288
1997-11,4321642
1997-12,4522166
1998-01,4824377
1998-02,4821037
1998-03,4624522
1998-04,4421315
1998-05,4199661
1998-06,4075945
1998-07,4136538
1998-08,4097296
1998-09,3966167
1998-10,3893529
1998-11,3947067
1998-12,4198044
1999-01,4456457
1999-02,4466358
1999-03,4289381
1999-04,4147004
1999-05,3998881
1999-06,3939250
1999-07,4029025
1999-08,4025692
1999-09,3944120
1999-10,3884731
1999-11,3902094
1999-12,4047935
2000-01,4294594
2000-02,4278240
2000-03,4141854
2000-04,3988279
2000-05,3789066
2000-06,3725548
2000-07,3804793
2000-08,3781589
2000-09,3685432
2000-10,3612330
2000-11,3645851
2000-12,3809582
2001-01,4094523
2001-02,4113921
2001-03,4000272
2001-04,3869326
2001-05,3721082
2001-06,3695626
2001-07,3799569
2001-08,3789377
2001-09,3744274
2001-10,3726567
2001-11,3789419
2001-12,3964044
2002-01,4290438
2002-02,4296675
2002-03,4157047
2002-04,4025304
2002-05,3947695
2002-06,3955639
2002-07,4047766
2002-08,4019585
2002-09,3943260
2002-10,3930770
2002-11,4026691
2002-12,4226504
2003-01,4623780
2003-02,4706920
2003-03,4609649
2003-04,4496689
2003-05,4343168
2003-06,4258711
2003-07,4353186
2003-08,4315665
2003-09,4207800
2003-10,4151320
2003-11,4183784
2003-12,4315233
2004-01,4597614
2004-02,4641273
2004-03,4547727
2004-04,4443657
2004-05,4293401
2004-06,4233656
2004-07,4360201
2004-08,4346770
2004-09,4256930
2004-10,4206813
2004-11,4257511
2004-12,4464416
2005-01,5086847
2005-02,5288245
2005-03,5266085
2005-04,5052429
2005-05,4884238
2005-06,4780624
2005-07,4836693
2005-08,4797562
2005-09,4646505
2005-10,4555075
